frequency_hz,gain,gain_db
50.0,0.41242,-7.6932
50.2659,0.42482,-7.436
50.5332,0.43121,-7.3062
50.8019,0.45615,-6.8178
51.0721,0.44478,-7.0371
51.3436,0.4278,-7.3752
51.6167,0.44796,-6.9752
51.8912,0.42958,-7.3391
52.1671,0.45784,-6.7858
52.4445,0.44426,-7.0472
52.7234,0.45,-6.9357
53.0038,0.46617,-6.6291
53.2856,0.44202,-7.0913
53.569,0.4429,-7.0739
53.8538,0.45302,-6.8777
54.1402,0.47123,-6.5354
54.4281,0.44765,-6.9813
54.7176,0.43652,-7.1999
55.0085,0.46233,-6.7009
55.301,0.47437,-6.4776
55.5951,0.48287,-6.3234
55.8908,0.46825,-6.5904
56.188,0.47079,-6.5434
56.4868,0.48848,-6.2231
56.7871,0.46027,-6.7397
57.0891,0.47712,-6.4275
57.3927,0.48495,-6.2861
57.6979,0.48958,-6.2035
58.0047,0.48204,-6.3384
58.3132,0.48953,-6.2043
58.6233,0.46636,-6.6255
58.935,0.48672,-6.2543
59.2484,0.49991,-6.0222
59.5635,0.48762,-6.2384
59.8802,0.5001,-6.0188
60.1986,0.50606,-5.916
60.5188,0.50024,-6.0164
60.8406,0.50746,-5.892
61.1641,0.49821,-6.0517
61.4894,0.50787,-5.885
61.8163,0.51813,-5.7112
62.1451,0.51569,-5.7521
62.4755,0.51036,-5.8424
62.8078,0.52057,-5.6704
63.1418,0.52759,-5.5541
63.4775,0.50205,-5.985
63.8151,0.53626,-5.4125
64.1544,0.52342,-5.623
64.4956,0.53316,-5.4629
64.8386,0.543,-5.304
65.1833,0.51944,-5.6893
65.53,0.52819,-5.5442
65.8784,0.53453,-5.4405
66.2288,0.53172,-5.4864
66.581,0.55904,-5.0511
66.935,0.53526,-5.4286
67.291,0.54042,-5.3454
67.6488,0.55016,-5.1901
68.0085,0.53825,-5.3804
68.3702,0.54846,-5.2171
68.7337,0.55775,-5.0713
69.0993,0.5534,-5.1392
69.4667,0.55795,-5.0681
69.8361,0.55575,-5.1024
70.2075,0.54806,-5.2234
70.5808,0.56858,-4.9041
70.9561,0.58508,-4.6557
71.3335,0.56988,-4.8843
71.7128,0.57412,-4.8199
72.0941,0.58097,-4.717
72.4775,0.56352,-4.9819
72.8629,0.59541,-4.5037
73.2504,0.58258,-4.6929
73.6399,0.59905,-4.4507
74.0315,0.57758,-4.7677
74.4252,0.60527,-4.361
74.821,0.59702,-4.4802
75.2188,0.59698,-4.4808
75.6188,0.59597,-4.4955
76.021,0.59333,-4.5341
76.4252,0.61,-4.2934
76.8316,0.60158,-4.4141
77.2402,0.58269,-4.6912
77.6509,0.59338,-4.5334
78.0639,0.60488,-4.3667
78.479,0.61202,-4.2647
78.8963,0.61054,-4.2857
79.3159,0.62548,-4.0757
79.7376,0.59597,-4.4955
80.1617,0.6191,-4.1648
80.5879,0.60167,-4.4128
81.0165,0.62963,-4.0182
81.4473,0.62328,-4.1064
81.8804,0.63061,-4.0048
82.3158,0.61996,-4.1528
82.7536,0.64357,-3.828
83.1936,0.64338,-3.8306
83.636,0.64098,-3.8631
84.0808,0.63604,-3.9304
84.5279,0.64531,-3.8046
84.9774,0.63462,-3.9497
85.4293,0.65243,-3.7093
85.8836,0.66255,-3.5757
86.3403,0.65894,-3.6231
86.7994,0.64311,-3.8343
87.261,0.6562,-3.6593
87.725,0.64183,-3.8517
88.1915,0.66265,-3.5743
88.6605,0.66361,-3.5618
89.1319,0.64257,-3.8416
89.6059,0.65182,-3.7174
90.0824,0.66277,-3.5727
90.5614,0.66476,-3.5467
91.043,0.65783,-3.6377
91.5272,0.67598,-3.4013
92.0139,0.67676,-3.3913
92.5032,0.67446,-3.4209
